Kelas,Hari,Jam Ke,Waktu,Mata Pelajaran,Status
XII PPLG B,Rabu,1,07.00-07.45,PABP,Terjadwal
XII PPLG B,Rabu,2,07.45-08.30,PABP,Terjadwal
XII PPLG B,Rabu,3,08.30-09.15,BJW,Terjadwal
XII PPLG B,Rabu,4,09.15-10.00,BJW,Terjadwal
XII PPLG B,Rabu,5,10.15-11.00,MPP,Terjadwal
XII PPLG B,Rabu,6,11.00-11.45,MPP,Terjadwal
XII PPLG B,Rabu,7,12.15-13.00,MAT,Terjadwal
XII PPLG B,Rabu,8,13.00-13.45,MAT,Terjadwal
XII PPLG B,Rabu,9,13.45-14.30,KOSONG,Kosong
XII PPLG B,Rabu,10,14.30-15.15,KOSONG,Kosong
XII PPLG B,Rabu,11,15.30-16.15,KOSONG,Kosong
XII PPLG B,Rabu,12,16.15-17.00,KOSONG,Kosong
XII PPLG B,Kamis,1,07.00-07.45,BINDO,Terjadwal
XII PPLG B,Kamis,2,07.45-08.30,BINDO,Terjadwal
XII PPLG B,Kamis,3,08.30-09.15,PP,Terjadwal
XII PPLG B,Kamis,4,09.15-10.00,PP,Terjadwal
XII PPLG B,Kamis,5,10.15-11.00,BING,Terjadwal
XII PPLG B,Kamis,6,11.00-11.45,BING,Terjadwal
XII PPLG B,Kamis,7,12.15-13.00,PABP,Terjadwal
XII PPLG B,Kamis,8,13.00-13.45,PABP,Terjadwal
XII PPLG B,Kamis,9,13.45-14.30,MAT,Terjadwal
XII PPLG B,Kamis,10,14.30-15.15,MAT,Terjadwal
XII PPLG B,Kamis,11,15.30-16.15,KOSONG,Kosong
XII PPLG B,Kamis,12,16.15-17.00,KOSONG,Kosong
XII PPLG B,Jumat,1,08.15-08.45,MPP,Terjadwal
XII PPLG B,Jumat,2,08.45-09.15,MPP,Terjadwal
XII PPLG B,Jumat,3,09.15-09.45,BINDO,Terjadwal
XII PPLG B,Jumat,4,10.00-10.30,BINDO,Terjadwal
XII PPLG B,Jumat,5,10.30-11.00,BING,Terjadwal
XII PPLG B,Jumat,6,11.00-11.30,BING,Terjadwal
XII PPLG B,Jumat,7,12.30-13.00,BING,Terjadwal
XII PPLG B,Jumat,8,13.00-13.30,BING,Terjadwal
XII PPLG B,Jumat,9,13.30-14.00,KOSONG,Kosong
XII PPLG B,Jumat,10,14.00-14.30,KOSONG,Kosong
XII PPLG B,Jumat,11,14.45-15.15,KOSONG,Kosong
XII PPLG B,Jumat,12,15.15-15.45,KOSONG,Kosong
